page,title,total_internal_outbound_links,total_internal_outbound_links_to_crawled_pages,total_internal_inbound_links,depth_from_homepage,is_orphan_page,has_lt_5_inbound_links,has_gt_50_outbound_links,holiday_primary_category,holiday_inferred_tags,structural_weakness_score,authority_hub_score
/holiday/national-anthem-day/,National Anthem Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
/holiday/national-apple-betty-day/,National Apple Betty Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/national-apple-dumpling-day/,National Apple Dumpling Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/national-apple-turnover-day/,National Apple Turnover Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,fun_weird_general,fun_weird_general,4,11.24
/holiday/national-aunt-and-uncle-day/,National Aunt and Uncle Day — Obscure Holiday Calendar,27,27,7,2,no,no,no,fun_weird_general,fun_weird_general,4,9.24
/holiday/national-authors-day/,National Authors Day — Obscure Holiday Calendar,25,25,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.0
/holiday/national-avocado-day/,National Avocado Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/national-bad-poetry-day/,National Bad Poetry Day — Obscure Holiday Calendar,27,27,15,2,no,no,no,arts_culture,arts_culture,4,17.24
/holiday/national-baklava-day/,National Baklava Day — Obscure Holiday Calendar,27,27,7,2,no,no,no,fun_weird_general,fun_weird_general,4,9.24
/holiday/national-banana-bread-day/,National Banana Bread Day — Obscure Holiday Calendar,27,27,7,2,no,no,no,food_drink,food_drink,4,9.24
/holiday/national-banana-split-day/,National Banana Split Day — Obscure Holiday Calendar,27,27,6,2,no,no,no,fun_weird_general,fun_weird_general,4,8.24
/holiday/national-barbecued-spareribs-day/,National Barbecued Spareribs Day — Obscure Holiday Calendar,27,27,13,2,no,no,no,fun_weird_general,fun_weird_general,4,15.24
/holiday/national-beach-day/,National Beach Day — Obscure Holiday Calendar,27,27,14,2,no,no,no,fun_weird_general,fun_weird_general,4,16.24
/holiday/national-beer-day/,National Beer Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,food_drink,food_drink;animals_nature,4,11.24
/holiday/national-bird-day/,National Bird Day — Obscure Holiday Calendar,27,27,14,2,no,no,no,animals_nature,animals_nature,4,16.24
/holiday/national-black-cat-appreciation-day/,National Black Cat Appreciation Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,animals_nature,animals_nature,4,12.24
/holiday/national-black-cat-day/,National Black Cat Day — Obscure Holiday Calendar,27,27,9,2,no,no,no,animals_nature,animals_nature,4,11.24
/holiday/national-blueberry-popsicle-day/,National Blueberry Popsicle Day — Obscure Holiday Calendar,27,27,14,2,no,no,no,fun_weird_general,fun_weird_general,4,16.24
/holiday/national-bologna-day/,National Bologna Day — Obscure Holiday Calendar,27,27,12,2,no,no,no,fun_weird_general,fun_weird_general,4,14.24
/holiday/national-book-lovers-day/,National Book Lovers Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,arts_culture,arts_culture;wellness_lifestyle,4,12.24
/holiday/national-bourbon-day/,National Bourbon Day — Obscure Holiday Calendar,27,27,13,2,no,no,no,fun_weird_general,fun_weird_general,4,15.24
/holiday/national-bow-tie-day/,National Bow Tie Day — Obscure Holiday Calendar,27,27,10,2,no,no,no,fun_weird_general,fun_weird_general,4,12.24
